1	亚洲	Asia
2	非洲	Africa
3	欧洲	Europe
4	北美洲	North America
5	南美洲	South America
6	大洋洲	Oceania
7	南极洲	Antarctica
1011205	马鞍山
1011206	淮北
1011207	铜陵
1011208	安庆
1011209	黄山
1011210	滁州
1011211	阜阳
1011212	宿州
1011213	六安
1011214	亳州
1011215	池州
1011216	宣城
1011301	福州
1011302	厦门
1011303	莆田
1011304	三明
1011305	泉州
1011306	漳州
1011307	南平
1011308	龙岩
1011309	宁德
1011401	南昌
1011402	景德镇
1011403	萍乡
1011404	九江
1011405	新余
1011406	鹰潭
1011407	赣州
1011408	吉安
1011409	宜春
1011410	抚州
1011411	上饶
1011501	济南
1011502	青岛
1011503	淄博
1011504	枣庄
1011505	东营
1011506	烟台
1011507	潍坊
1011508	济宁
1011509	泰安
1011510	威海
1011511	日照
1011512	莱芜
1011513	临沂
1011514	德州
1011515	聊城
1011516	滨州
1011517	菏泽
1011601	郑州
1011602	开封
1011603	洛阳
1011604	平顶山
1011605	安阳
1011606	鹤壁
1011607	新乡
1011608	焦作
1011609	濮阳
1011610	许昌
1011611	漯河
1011612	三门峡
1011613	南阳
1011614	商丘
1011615	信阳
1011616	周口
1011617	驻马店
1011701	武汉
1011702	黄石
1011703	十堰
1011704	宜昌
1011705	襄阳
1011706	鄂州
1011707	荆门
1011708	孝感
1011709	荆州
1011710	黄冈
1011711	咸宁
1011712	随州
1011713	恩施
1011801	长沙
1011802	株洲
1011803	湘潭
1011804	衡阳
1011805	邵阳
1011806	岳阳
1011807	常德
1011808	张家界
1011809	益阳
1011810	郴州
1011811	永州
1011812	怀化
1011813	娄底
1011814	湘西
1011901	广州
1011902	韶关
1011903	深圳
1011904	珠海
1011905	汕头
1011906	佛山
1011907	江门
1011908	湛江
1011909	茂名
1011910	肇庆
1011911	惠州
1011912	梅州
1011913	汕尾
1011914	河源
1011915	阳江
1011916	清远
1011917	潮州
1011918	揭阳
1011919	云浮
1012001	海口
1012002	三沙
1012101	成都
1012102	自贡
1012103	攀枝花
1012104	泸州
1012105	德阳
1012106	绵阳
1012107	广元
1012108	遂宁
1012109	内江
1012110	乐山
1012111	南充
1012112	眉山
1012113	宜宾
1012114	广安
1012115	达州
1012116	雅安
1012117	巴中
1012118	资阳
1012119	阿坝
1012120	甘孜
1012121	凉山
1012201	贵阳
1012202	六盘水
1012203	遵义
1012204	安顺
1012205	铜仁
1012206	黔西南
1012207	毕节
1012208	黔东南
1012209	黔南
1012301	昆明
1012302	曲靖
1012303	玉溪
1012304	保山
1012305	昭通
1012306	丽江
1012307	普洱
1012308	临沧
1012309	楚雄
1012310	红河
1012311	文山
1012312	西双版纳
1012313	大理
1012314	德宏
1012315	怒江
1012316	迪庆
1012401	西安
1012402	铜川
1012403	宝鸡
1012404	咸阳
1012405	渭南
1012406	延安
1012407	汉中
1012408	榆林
1012409	安康
1012410	商洛
1012501	兰州
1012502	金昌
1012503	白银
1012504	天水
1012505	武威
1012506	张掖
1012507	平凉
1012508	酒泉
1012509	庆阳
1012510	定西
1012511	陇南
1012512	临夏
1012513	甘南
1012601	西宁
1012602	海东
1012603	海北
1012604	黄南
1012605	海南藏族
1012606	果洛
1012607	玉树
1012608	海西
1012801	呼和浩特
1012802	包头
1012803	乌海
1012804	赤峰
1012805	通辽
1012806	鄂尔多斯
1012807	呼伦贝尔
1012808	巴彦淖尔
1012809	乌兰察布
1012810	兴安
1012811	锡林郭勒
1012812	阿拉善
1012901	南宁
1012902	柳州
1012903	桂林
1012904	梧州
1012905	北海
1012906	防城港
1012907	钦州
1012908	贵港
1012909	玉林
1012910	百色
1012911	贺州
1012912	河池
1012913	来宾
1012914	崇左
1013001	拉萨
1013002	昌都
1013003	山南
1013004	日喀则
1013005	那曲
1013006	阿里
1013007	林芝
1013101	银川
1013102	石嘴山
1013103	吴忠
1013104	固原
1013105	中卫
1013201	乌鲁木齐
1013202	克拉玛依
1013203	吐鲁番
1013204	哈密
1013205	昌吉
1013206	博尔塔拉
1013207	巴音郭楞
1013208	阿克苏
1013209	克孜勒苏柯尔克孜
1013210	喀什
1013211	和田
1013212	伊犁
1013213	塔城
1013214	阿勒泰
101010101	东城
101010102	西城
101010103	朝阳
101010104	丰台
101010105	石景山
101010106	海淀
101010107	门头沟
101010108	房山
101010109	通州
101010110	顺义
101010111	昌平
101010112	大兴
101010113	怀柔
101010114	平谷
101010115	密云
101010116	延庆
101020101	和平
101020102	河东
101020103	河西
101020104	南开
101020105	河北
101020106	红桥
101020107	东丽
101020108	西青
101020109	津南
101020110	北辰
101020111	武清
101020112	宝坻
101020113	滨海
101020114	宁河
101020115	静海
101020116	蓟县
101030101	黄浦
101030102	徐汇
101030103	长宁
101030104	静安
101030105	普陀
101030106	虹口
101030107	杨浦
101030108	闵行
101030109	宝山
101030110	嘉定
101030111	浦东
101030112	金山
101030113	松江
101030114	青浦
101030115	奉贤
101030116	崇明
101040101	万州
101040102	涪陵
101040103	渝中
101040104	大渡口
101040105	江北
101040106	沙坪坝
101040107	九龙坡
101040108	南岸
101040109	北碚
101040110	万盛
101040111	双桥
101040112	渝北
101040113	巴南
101040114	黔江
101040115	长寿
101040116	綦江
101040117	潼南
101040118	铜梁
101040119	大足
101040120	荣昌
101040121	璧山
101040122	梁平
101040123	城口
101040124	丰都
101040125	垫江
101040126	武隆
101040127	忠县
101040128	开县
101040129	云阳
101040130	奉节
101040131	巫山
101040132	巫溪
101040133	石柱
101040134	秀山
101040135	酉阳
101040136	彭水
101040137	江津
